phase6b_scenario,candidate_id,minimum_usable_windows,scenario_pass_but_zero_usable_window,scenario_pass_but_below_minimum,scenario_fail_but_meets_minimum,both_pass,both_fail,scenario_failure_reasons_among_fail_but_meets_minimum,bis_10_100_fraction_reason_but_meets_minimum,selected
permissive,sqi_not_required__bis10s__drug30s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug30s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug30s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug30s,300,0,86,1,2378,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug30s,600,0,765,1,1699,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug60s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug60s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug60s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug60s,300,0,86,1,2378,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug60s,600,0,765,1,1699,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug120s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug120s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug120s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug120s,300,0,86,1,2378,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug120s,600,0,762,1,1702,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug300s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug300s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug300s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug300s,300,0,85,1,2379,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug300s,600,0,757,1,1707,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug600s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug600s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug600s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug600s,300,0,84,1,2380,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis10s__drug600s,600,0,754,1,1710,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug30s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug30s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug30s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug30s,300,0,85,1,2379,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug30s,600,0,763,1,1701,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug60s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug60s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug60s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug60s,300,0,85,1,2379,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug60s,600,0,763,1,1701,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug120s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug120s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug120s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug120s,300,0,85,1,2379,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug120s,600,0,759,1,1705,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug300s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug300s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug300s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug300s,300,0,84,1,2380,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug300s,600,0,755,1,1709,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug600s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug600s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug600s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug600s,300,0,83,1,2381,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis20s__drug600s,600,0,752,1,1712,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
