component,current_repository,legacy_source,classification,import_probe,entry_point,dependency_contract,input_output_contract,checkpoint_free_init,synthetic_probe,decision
ppo_trainer,placeholder,src/rl_training/training.py,executable_after_small_refactor,failed_missing_gymnasium,scripts/run_ppo_smoke.py,stable_baselines3_missing_from_environment_and_requirements,incomplete_without_SB3_and_approved_config,yes_not_verified,not_run,"Reuse only after dependency lock and scientific constants are approved"
actor,placeholder,stable_baselines3_policy_via_src/rl_training/training.py,executable_after_small_refactor,failed_before_SB3_import,scripts/run_ppo_smoke.py,stable_baselines3_missing,delegated_to_SB3,yes_not_verified,not_run,"Do not reconstruct; expose SB3 policy only after environment imports"
critic,placeholder,stable_baselines3_policy_via_src/rl_training/training.py,executable_after_small_refactor,failed_before_SB3_import,scripts/run_ppo_smoke.py,stable_baselines3_missing,delegated_to_SB3,yes_not_verified,not_run,"Do not reconstruct; expose SB3 value network only after environment imports"
rollout_buffer,placeholder,stable_baselines3_internal,executable_after_small_refactor,failed_before_SB3_import,scripts/run_ppo_smoke.py,stable_baselines3_missing,delegated_to_SB3,yes_not_verified,not_run,"No repository-owned buffer to migrate"
gae,placeholder,stable_baselines3_internal,executable_after_small_refactor,failed_before_SB3_import,scripts/run_ppo_smoke.py,stable_baselines3_missing,delegated_to_SB3,yes_not_verified,not_run,"No repository-owned GAE implementation to migrate"
ppo_update,placeholder,stable_baselines3_PPO.learn,executable_after_small_refactor,failed_before_SB3_import,scripts/run_ppo_smoke.py,stable_baselines3_missing,delegated_to_SB3,yes_not_verified,not_run,"Use vetted library implementation; exact config remains unresolved"
patient_simulator,placeholder,src/pkpd/simulator.py,executable_and_reusable,passed,none_required,numpy_and_scipy_available,reset_patient_seed_then_advance_rates,yes,passed,"Candidate for read-only reuse after primary-source revalidation"
pk_pd_model,placeholder,src/pkpd/parameters.py;src/pkpd/compartment.py;src/pkpd/bis_response.py,executable_and_reusable,passed,none_required,numpy_and_scipy_available,demographics_to_parameters_and_amounts_to_concentrations,yes,passed,"Equations execute but scientific provenance still requires revalidation"
anesthesia_environment,placeholder,src/rl_env/environment.py,executable_after_small_refactor,failed_missing_gymnasium,scripts/validate_rl_environment.py,gymnasium_declared_but_not_installed,Gymnasium_reset_step_contract,yes_not_verified,not_run,"Install locked dependency and run exactly one synthetic reset/step later"
reward,placeholder,src/rl_env/reward.py,partial_reference_only,blocked_by_package_import,scripts/validate_rl_environment.py,gymnasium_package_import_chain,post_transition_BIS_and_action_inputs,yes_not_verified,not_run,"Numeric coefficients and true-versus-visible BIS contract need human approval"
action_definition,placeholder,src/rl_env/action.py,partial_reference_only,blocked_by_package_import,scripts/validate_rl_environment.py,gymnasium_package_import_chain,scalar_propofol_mg_per_min,yes_not_verified,not_run,"Unit is explicit but bounds provenance conflicts remain"
state_adapter,placeholder,src/rl_env/state_adapters.py,partial_reference_only,blocked_by_package_import,scripts/validate_rl_environment.py,gymnasium_package_import_chain,history_static_and_target_mapping,yes_not_verified,not_run,"Existing adapter lacks per-signal observation-quality encoding"
configuration,placeholder,src/rl_training/config.py;src/rl_env/config.py,partial_reference_only,blocked_by_package_import,scripts/run_ppo_smoke.py,gymnasium_and_SB3_plus_unlocked_versions,dataclass_contracts_visible,yes_not_verified,not_run,"Constants are legacy candidates and cannot be frozen in Phase 7C"
training_entry_point,missing,scripts/run_ppo_smoke.py,executable_after_small_refactor,failed_missing_gymnasium,scripts/run_ppo_smoke.py,gymnasium_and_stable_baselines3_missing,CLI_contract_visible,yes_not_verified,not_run,"Existing entry is synthetic but runs at least 2000 steps and creates checkpoints; do not run now"
evaluation_entry_point,missing,src/rl_training/evaluation.py,partial_reference_only,failed_missing_gymnasium,none_standalone,gymnasium_and_stable_baselines3_missing,requires_model_and_validation_scenarios,no,not_run,"Tied to legacy cohort/checkpoint assumptions; lab evaluation code preferred"
legacy_checkpoint_and_result_artifacts,none,outputs;checkpoints;configs/ppo_primary_state_*.json,prohibited_artifact,not_attempted,not_applicable,not_applicable,data_dependent_or_frozen_legacy_state,no,not_run,"Never copy or use"
