"evidence_id","domain","item","value_or_equation","unit","classification","source_id","source_location","conflict_or_gap","implementation_status","notes"
"PKPD-001","pkpd","three_compartment_mass_balance","dx1/dt=-(k10+k12+k13)x1+k21*x2+k31*x3+u(t); dx2/dt=k12*x1-k21*x2; dx3/dt=k13*x1-k31*x3","drug amount per minute","explicit_in_primary_paper","yun_2023","Eqs. 1-3; PDF p.3","none","specified_not_implemented","Same topology is used for each drug; numeric solver is not disclosed."
"PKPD-002","pkpd","lean_body_mass_male","1.1*weight-128*(weight/height)^2","kg from kg and cm","conflicting","yun_2023;schnider_1998;minto_1997","Yun Eqs. 4-5 PDF p.3; cited-model James equation","Yun print extraction omits the square; cited primary models include it","recommended_pending_human_approval","Do not implement the dimensionally inconsistent printed form without resolving the conflict."
"PKPD-003","pkpd","lean_body_mass_female","1.07*weight-148*(weight/height)^2","kg from kg and cm","conflicting","yun_2023;schnider_1998;minto_1997","Yun Eqs. 4-5 PDF p.3; cited-model James equation","Yun print extraction omits the square; cited primary models include it","recommended_pending_human_approval","Sex encoding remains a separate Protocol v1.3.1 decision."
"PKPD-004","pkpd","schnider_V1","h1","L","explicit_in_primary_paper","yun_2023","Eq. 6; PDF p.3","none","specified_not_implemented","Central volume."
"PKPD-005","pkpd","schnider_V2","h2-h3*(age-h4)","L","explicit_in_primary_paper","yun_2023","Eq. 7; PDF p.3","none","specified_not_implemented","Fast peripheral volume."
"PKPD-006","pkpd","schnider_V3","h5","L","explicit_in_primary_paper","yun_2023","Eq. 8; PDF p.3","none","specified_not_implemented","Slow peripheral volume."
"PKPD-007","pkpd","schnider_Cl1","h6+h7*(weight-h8)-h9*(lbm-h10)+h11*(height-h12)","L/min","explicit_in_primary_paper","yun_2023","Eq. 9; PDF p.3","none","specified_not_implemented","Metabolic clearance."
"PKPD-008","pkpd","schnider_Cl2","h13-h14*(age-h15)","L/min","explicit_in_primary_paper","yun_2023","Eq. 10; PDF pp.3-4","none","specified_not_implemented","Intercompartmental clearance."
"PKPD-009","pkpd","schnider_Cl3","h16","L/min","explicit_in_primary_paper","yun_2023","Eq. 11; PDF pp.3-4","none","specified_not_implemented","Intercompartmental clearance."
"PKPD-010","pkpd","schnider_microconstants","k10=Cl1/V1; k12=Cl2/V1; k13=Cl3/V1; k21=Cl2/V2; k31=Cl3/V3","1/min","derivable_without_new_assumption","yun_2023","Eqs. 12-16; PDF pp.3-4","none","specified_not_implemented","Algebraically defined from disclosed volumes and clearances."
"PKPD-011","pkpd","schnider_ke0","h17","1/min","explicit_in_primary_paper","yun_2023","Eq. 17; PDF p.4","none","specified_not_implemented","Effect-site equilibration rate."
"PKPD-012","pkpd","minto_V1","f1-f2*(age-f17)+f3*(lbm-f18)","L","explicit_in_primary_paper","yun_2023","Eq. 18; PDF p.4","none","specified_not_implemented","Central volume."
"PKPD-013","pkpd","minto_V2","f4-f5*(age-f17)+f6*(lbm-f18)","L","explicit_in_primary_paper","yun_2023","Eq. 19; PDF p.4","none","specified_not_implemented","Fast peripheral volume."
"PKPD-014","pkpd","minto_V3","f7","L","explicit_in_primary_paper","yun_2023","Eq. 20; PDF p.4","none","specified_not_implemented","Slow peripheral volume."
"PKPD-015","pkpd","minto_Cl1","f8-f9*(age-f17)+f10*(lbm-f18)","L/min","conflicting","yun_2023;minto_1997","Eq. 21 PDF p.4; Minto parameterization","Yun prints h18 although h18 is undefined; Minto uses the f18=55 LBM center","recommended_pending_human_approval","The f18 correction is strongly indicated but remains versioned before implementation."
"PKPD-016","pkpd","minto_Cl2","f11-f12*(age-f17)","L/min","conflicting","yun_2023;minto_1997","Eq. 22 and Table A.4 PDF pp.4,9; Minto parameterization","Yun f12=0.030 while cited Minto reports 0.0301","recommended_pending_human_approval","Both variants require sensitivity characterization."
"PKPD-017","pkpd","minto_Cl3","f13-f14*(age-f17)","L/min","explicit_in_primary_paper","yun_2023","Eq. 23; PDF p.4","none","specified_not_implemented","Intercompartmental clearance."
"PKPD-018","pkpd","minto_microconstants","k10=Cl1/V1; k12=Cl2/V1; k13=Cl3/V1; k21=Cl2/V2; k31=Cl3/V3","1/min","derivable_without_new_assumption","yun_2023","Eqs. 24-28; PDF p.4","none","specified_not_implemented","Algebraically defined from disclosed volumes and clearances."
"PKPD-019","pkpd","minto_ke0","f15-f16*(age-f17)","1/min","explicit_in_primary_paper","yun_2023","Eq. 29; PDF p.4","none","specified_not_implemented","Age-dependent effect-site equilibration rate."
"PKPD-020","pkpd","plasma_concentration","Cp(t)=x1(t)/V1","propofol mg/L; remifentanil amount unit per L pending","explicit_in_primary_paper","yun_2023","text following Eq. 29; PDF p.4","Remifentanil amount unit conflicts elsewhere in the paper","specified_with_unit_pending","Definition is explicit; remifentanil amount scale is not."
"PKPD-021","pkpd","effect_site_equation","dCe/dt=ke0*(Cp-Ce)","concentration/min","explicit_in_primary_paper","yun_2023","Eqs. 30-31; PDF p.4","none","specified_not_implemented","Equivalent to the disclosed effect-compartment amount equation when k1e=ke0."
"PKPD-022","pkpd","effect_site_concentration_propofol","Ce_PPF follows PKPD-021 with propofol Cp and ke0","mg/L","derivable_without_new_assumption","yun_2023","Eqs. 30-31; PDF p.4","none","specified_not_implemented","No device-reported Ce is used."
"PKPD-023","pkpd","effect_site_concentration_remifentanil","Ce_RFTN follows PKPD-021 with remifentanil Cp and age-dependent ke0","microgram/L candidate","conflicting","yun_2023;minto_1997","Eqs. 29-32; PDF p.4","Paper describes drug amount as mg but uses a 19.3 microgram/L response scale","recommended_pending_human_approval","A coherent remifentanil amount unit must be approved before implementation."
"PKPD-024","pkpd","bis_interaction","BIS(t)=98*(1+Ce_PPF/4.47+Ce_RFTN/19.3)^(-1.43)+epsilon","BIS units; Ce_PPF mg/L; Ce_RFTN microgram/L","explicit_in_primary_paper","yun_2023;bouillon_2004","Eq. 32 PDF p.4; Bouillon response-surface parameters","Noise term is not numerically defined in Yun 2023","specified_with_noise_pending","Track this as the Yun additive BIS approximation, not a general clinical interaction law."
"PKPD-025","pkpd","gaussian_bis_noise","epsilon is described as Gaussian noise","BIS units","missing","yun_2023;yun_2024","Yun 2023 Eq. 32 PDF p.4; Yun 2024 text after Eq. 6 PDF p.4","Yun 2023 gives no parameters; Yun 2024 states N(10,0.4) without unambiguous parameter semantics and also describes a drug-drop process","recommended_pending_human_approval","No distribution is selected in Phase 7E."
"PKPD-026","pkpd","numerical_integration_interval","not disclosed","seconds","missing","yun_2023","continuous Eqs. 1-31; action timing PDF p.5","Action interval is not the numerical integration interval","recommended_pending_human_approval","Integrator method and step require separate approval."
"PKPD-027","pkpd","infusion_units","u(t) is described as mg/min for both drugs","amount/min","conflicting","yun_2023;minto_1997","PDF p.3 and Eq. 32 PDF p.4","Remifentanil response scale and standard Minto parameterization use microgram units","recommended_pending_human_approval","Do not silently rescale."
"CONST-H01","pkpd_parameter","h1","4.27","L","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Schnider V1."
"CONST-H02","pkpd_parameter","h2","18.9","L","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Schnider V2 intercept."
"CONST-H03","pkpd_parameter","h3","0.391","L/year","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Schnider V2 age coefficient."
